date,rev_forecast,upper_estimate,lower_estimate
2016-07-01,2216451.6245750505,2292661.544474943,2131857.4399629734
2016-08-01,2210536.320877927,2302683.3809096613,2122581.987342955
2016-09-01,2062807.399145606,2151670.2567297155,1965532.042581877
2016-10-01,2084382.6933301822,2169268.7617189153,1999049.6191941358
2016-11-01,2049306.515853192,2139887.7982137604,1960040.1994723636
2016-12-01,2102547.1327441023,2190447.706381138,2011771.6794611528
2017-01-01,2022028.1655866245,2105499.039761427,1928231.7754917066
2017-02-01,1968193.724844599,2058091.1930481836,1875964.8117793424
2017-03-01,2202939.3079855507,2292582.422752727,2121485.717429906
2017-04-01,2073336.4815581066,2166131.59324013,1982222.9916045764
2017-05-01,2095512.314802697,2187693.7745704497,2006488.74075406
2017-06-01,2015233.030292913,2102554.9009202505,1930361.6354096516
2017-07-01,2092869.9100594262,2174465.042150817,1997429.3011344662
2017-08-01,2072521.1923057253,2163032.3309707125,1985197.3550859985
2017-09-01,1950714.5329487605,2041491.6183865352,1864954.3706616808
2017-10-01,1990678.0266415451,2074428.474001833,1900419.357885814
2017-11-01,1928160.6546391544,2024231.9600366126,1842146.836777703
2017-12-01,1967159.420116622,2060293.1517131282,1881396.000135788
2018-01-01,1892436.6993761586,1979184.3552612572,1795334.100562586
2018-02-01,1872895.0477270777,1957295.0669749202,1787876.0257726486
2018-03-01,2064886.8244240356,2151906.03299413,1975644.4382055097
2018-04-01,1957205.1522357243,2044224.263190442,1873119.3172400873
2018-05-01,1981217.689303066,2071749.598476701,1893417.8155629497
2018-06-01,1884209.5516823865,1975402.83636778,1801308.8627127435
2018-07-01,1969204.1621928571,2054321.6476755117,1880437.540631289
2018-08-01,1936323.8897600244,2022429.2759707244,1845627.4001206406
2018-09-01,1838590.0751012464,1928535.6932666434,1747342.6148856962
2018-10-01,1893788.156291099,1978074.951699458,1812072.4292455777
2018-11-01,1806937.1772868207,1888151.7236724983,1713773.7999396005
2018-12-01,1833412.177225144,1926631.1744169598,1740148.5806718017
2019-01-01,1764874.0617636992,1859083.7212165184,1670040.4074338444
2019-02-01,1775512.6191203794,1875670.2261878508,1678677.8512144664
2019-03-01,1927898.934695986,2028766.1872393077,1825323.2820203393
2019-04-01,1840559.3137456707,1950237.1099284622,1738014.64882914
2019-05-01,1865538.3450726373,1971715.928109922,1756313.190291306
2019-06-01,1754533.4207217903,1855726.6639843662,1640226.2609241533
2019-07-01,1845461.0430392919,1968350.2194213737,1731847.1460643741
2019-08-01,1801917.8292187012,1928558.4098722958,1672606.6484367228
2019-09-01,1726324.7417971897,1846205.6527984317,1602815.725027477
2019-10-01,1793723.9545013553,1921213.5407067258,1644403.698743016
2019-11-01,1685747.9955134366,1826251.824575221,1536318.8299881355
2019-12-01,1701354.0030693521,1846937.6425069228,1542208.5121256055
2020-01-01,1639265.9771597846,1786734.3010383327,1475884.1162754449
